ski,31,32.14117,147409.23,396.51
otselic,6,31.43292,\N,\N
malone,6,31.43292,\N,\N
alexandria,7,30.216524,\N,\N
fur,5,30.216524,\N,\N
wineries,54,30.132805,401746.67,984.25
trail,68,28.801981,109565.52,842.6
disease,253,28.641848,1946159.39,650.0
hmo,9,27.674631,114831.47,594.93
alden,12,27.274036,\N,\N
batavia,15,26.920689,4853.19,269.62
lewdness,18,26.604607,12000.0,2000.0
marijuana,28,26.057642,31789.8,342.25
salem,16,26.057642,2444.05,814.68
submetering,25,25.817514,75385.81,537.27
mountain,17,25.38821,17535.5,531.38
duplicate,17,25.38821,65643.62,722.81
livestock,29,25.38821,151685.24,639.2
campground,22,25.194595,81106.96,517.21
maps,27,24.679045,181039.11,460.95
niagara,196,24.211174,336755.55,666.78
investigator,35,24.105879,12488.25,183.81
teams,33,23.855734,67699.84,392.48
towers,33,23.855734,148987.15,1055.36
fireworks,31,23.855734,144545.99,1634.29
wine,210,23.823406,2244967.76,770.82
jurors,33,23.624851,9614.57,1020.18
lottery,265,23.41067,1847264.03,930.77
saratoga,36,23.115154,16103.52,382.8
gold,52,23.022839,11629.97,685.1
committee,259,23.001009,1117910.87,813.08
oneida,39,22.846317,5660.72,1027.72
patrol,38,22.761805,20597.42,148.94
asset,43,22.679607,282212.39,1604.72
discovery,46,22.599604,189507.82,767.67
reentering,2,22.341574,371.51,46.44
pegs,2,22.341574,\N,\N
cortlandt,2,22.341574,3263.76,135.99
constructs,2,22.341574,17934.86,373.64
heliport,2,22.341574,\N,\N
cystic,2,22.341574,\N,\N
agreementsstipulations,2,22.341574,\N,\N
vienna,2,22.341574,\N,\N
brca,2,22.341574,\N,\N
accessnygov,2,22.341574,\N,\N
interpersonal,2,22.341574,329.11,164.56
diabetic,2,22.341574,1130.83,188.47
fibrosis,2,22.341574,\N,\N
colombian,2,22.341574,\N,\N
collapsible,2,22.341574,\N,\N
salons,2,22.341574,\N,\N
baton,2,22.341574,\N,\N
prepay,2,22.341574,2602.77,260.28
sober,2,22.341574,11485.05,249.68
forging,2,22.341574,\N,\N
qualityoflife,2,22.341574,\N,\N
radios,2,22.341574,\N,\N
difluoroethane,2,22.341574,\N,\N
resource,50,22.228762,81287.11,615.6
testing,316,22.087252,1566161.77,710.45
roads,65,21.8369,171475.35,742.41
clerk,57,21.601486,46147.62,610.21
trafficking,63,21.54541,123157.75,462.77
donation,65,21.490362,226260.59,413.94
age,1057,21.375523,6241483.61,684.99
inspector,68,21.130959,116351.95,1071.66
platinum,4,20.95528,\N,\N
geoparks,4,20.95528,\N,\N
punchcard,4,20.95528,\N,\N
heuvelton,4,20.95528,\N,\N
newfane,4,20.95528,\N,\N
georgetownsouth,4,20.95528,\N,\N
cosmos,4,20.95528,9999.92,833.33
knuckles,4,20.95528,\N,\N
cle,4,20.95528,\N,\N
fortification,4,20.95528,\N,\N
clearcutting,4,20.95528,3516.92,97.69
declare,4,20.95528,\N,\N
deet,4,20.95528,281295.05,425.65
transplant,3,20.95528,250.14,39.46
setoff,4,20.95528,\N,\N
bancroft,4,20.95528,\N,\N
deicing,3,20.95528,6112.25,581.97
gowanda,4,20.95528,\N,\N
lagrange,4,20.95528,\N,\N
brunswick,4,20.95528,\N,\N
delhi,4,20.95528,\N,\N
hungry,4,20.95528,600.0,300.0
huxley,4,20.95528,\N,\N
adoptatrail,4,20.95528,\N,\N
riot,4,20.95528,\N,\N
concussion,4,20.95528,4756.62,246.69
fertility,4,20.95528,195225.87,1061.01
fax,4,20.95528,\N,\N
federation,3,20.95528,3000.0,1500.0
ferries,3,20.95528,0.0,0.0
inciting,4,20.95528,\N,\N
nonindigent,4,20.95528,\N,\N
canal,95,20.682364,151025.4,492.49
rape,77,20.640984,128883.52,503.55
compact,80,20.600166,531882.28,677.85
nurses,91,20.559896,1322841.88,701.06
warrant,83,20.559896,3785652.44,732.54
offender,466,20.531666,1459476.16,724.39
judge,104,20.52016,113518.48,389.76
laboratory,92,20.52016,821303.44,924.23
liens,80,20.52016,123969.05,751.21
drug,462,20.503128,4521175.72,586.62
smoking,87,20.329014,1381808.69,491.38
privacy,84,20.292204,956456.86,645.24
fireplace,6,20.14435,56478.06,522.94
oakfield,6,20.14435,3235.46,269.62
zebrowski,5,20.14435,\N,\N
veeder,6,20.14435,\N,\N
dirt,6,20.14435,1730.61,72.11
tattoo,5,20.14435,\N,\N
atomic,6,20.14435,\N,\N
studios,4,20.14435,10183.82,1454.83
dues,4,20.14435,12520.71,402.12
kill,5,20.14435,552.63,276.32
gelatin,6,20.14435,2009.1,191.58
honey,4,20.14435,\N,\N
cancers,4,20.14435,1111.11,158.73
eprp,6,20.14435,5248.4,656.05
kirwan,5,20.14435,4446.1,444.61
hindering,6,20.14435,2329.51,582.38
earthquake,6,20.14435,555.56,138.89
morahan,5,20.14435,8000.0,2000.0
scoring,4,20.14435,30664.09,1916.51
narcotic,5,20.14435,\N,\N
elba,6,20.14435,3235.46,269.62
clinical,99,20.114637,1809589.12,959.91
food,544,20.097832,3555372.96,577.35
beer,107,20.046452,650767.97,732.14
horse,107,19.882477,718846.52,1247.53
inmate,104,19.819317,402328.91,867.85
cemetery,123,19.75746,387335.59,759.52
sheriffs,125,19.75746,153525.62,759.74
albany,111,19.727001,177522.14,650.07
racing,116,19.667,1059818.71,1208.92
dogs,132,19.667,311485.52,262.52
indices,8,19.568985,27757.37,564.59
brochure,5,19.568985,\N,\N
taxbased,8,19.568985,37098.61,425.12
bedbugs,7,19.568985,10696.43,445.68
perinatal,6,19.568985,2034.36,339.06
deserve,8,19.568985,\N,\N
coal,8,19.568985,13708.15,1713.52
runner,8,19.568985,155016.9,1208.52
stephentown,8,19.568985,\N,\N
stoppers,8,19.568985,7906.34,282.37
cleft,8,19.568985,248568.14,504.92
textile,8,19.568985,\N,\N
healthworks,8,19.568985,\N,\N
tar,8,19.568985,13708.15,1713.52
medina,6,19.568985,\N,\N
birdfriendly,8,19.568985,\N,\N
ionization,8,19.568985,12861.27,803.83
teeth,5,19.568985,8327.05,521.7
vincent,6,19.568985,791.69,791.69
surpluses,8,19.568985,14030.06,350.75
overexpenditure,8,19.568985,0.0,0.0
canandaigua,6,19.568985,\N,\N
wholesaler,6,19.568985,18838.53,756.11
refillable,5,19.568985,97103.53,1103.45
analgesic,8,19.568985,269820.12,1312.43
stone,7,19.568985,\N,\N
byron,6,19.568985,\N,\N
smartcard,8,19.568985,\N,\N
pavement,8,19.568985,13708.15,1713.52
magistrate,6,19.568985,\N,\N
pba,8,19.568985,5200.0,260.0
wellsville,6,19.568985,\N,\N
zoological,6,19.568985,13140.78,446.58
notarial,8,19.568985,647.37,29.43
spare,5,19.568985,28768.91,449.51
defense,123,19.493876,3650757.81,775.59
dog,125,19.330198,388843.65,510.1
manufactured,149,19.25159,379599.7,1077.8
savings,163,19.12499,1507571.01,613.46
sludge,9,19.122698,36753.02,694.7
lewanduski,9,19.122698,\N,\N
ropes,6,19.122698,\N,\N
jukes,8,19.122698,\N,\N
processors,6,19.122698,21106.87,629.56
victor,7,19.122698,\N,\N
barsamian,10,19.122698,15863.2,583.23
lateness,10,19.122698,7504.77,891.79
