"BILL_PERIOD","BILLNUMAMEND","BILL_NORM"
"2011-2012","A5208","A5208"
"2011-2012","A5209","A5209"
"2011-2012","A5210","A5210"
"2011-2012","A2950-A","A2950A"
"2011-2012","A2951-B","A2951B"
"2011-2012","A2952","A2952"
"2011-2012","A2953-A","A2953A"
"2011-2012","A2954-A","A2954A"
"2011-2012","A2604","A2604"
"2011-2012","A2605","A2605"
"2011-2012","A2606","A2606"
"2011-2012","A2607","A2607"
"2011-2012","A2608","A2608"
"2011-2012","A2609","A2609"
"2011-2012","A2610-A","A2610A"
"2011-2012","A5524","A5524"
"2011-2012","A5525-A","A5525A"
"2011-2012","A5526","A5526"
"2011-2012","A5527-A","A5527A"
"2011-2012","A3217","A3217"
"2011-2012","A3218","A3218"
"2011-2012","A3219","A3219"
"2011-2012","A3220","A3220"
"2011-2012","A3221","A3221"
"2011-2012","A3222","A3222"
"2011-2012","A3223","A3223"
"2011-2012","A3234","A3234"
"2011-2012","A3780-A","A3780A"
"2011-2012","A3781-A","A3781A"
"2011-2012","A3950","A3950"
"2011-2012","A3951","A3951"
"2011-2012","A3952","A3952"
"2011-2012","A2955","A2955"
"2011-2012","A2956","A2956"
"2011-2012","A2957","A2957"
"2011-2012","A2958","A2958"
"2011-2012","A2959","A2959"
"2011-2012","A2960","A2960"
"2011-2012","A2961","A2961"
"2011-2012","A2342","A2342"
"2011-2012","A2343","A2343"
"2011-2012","A2344","A2344"
"2011-2012","A2345","A2345"
"2011-2012","A3235","A3235"
"2011-2012","A3236","A3236"
"2011-2012","A3531","A3531"
"2011-2012","A3532","A3532"
"2011-2012","A3533","A3533"
"2011-2012","A3769","A3769"
"2011-2012","A3770","A3770"
"2011-2012","A3771","A3771"
"2011-2012","A3772","A3772"
"2011-2012","A3773","A3773"
"2011-2012","A3774","A3774"
"2011-2012","A3775","A3775"
"2011-2012","A3776","A3776"
"2011-2012","A3777","A3777"
"2011-2012","A3778","A3778"
"2011-2012","A3779","A3779"
"2011-2012","A7049","A7049"
"2011-2012","A7050-A","A7050A"
"2011-2012","A7051-A","A7051A"
"2011-2012","A7052","A7052"
"2011-2012","A7053","A7053"
"2011-2012","A7321","A7321"
"2011-2012","A6575-A","A6575A"
"2011-2012","A6576","A6576"
"2011-2012","A2350","A2350"
"2011-2012","A2351","A2351"
"2011-2012","A2352","A2352"
"2011-2012","A2353","A2353"
"2011-2012","A2354","A2354"
"2011-2012","A3295-A","A3295A"
"2011-2012","A3590","A3590"
"2011-2012","A3591","A3591"
"2011-2012","A3592","A3592"
"2011-2012","A3593","A3593"
"2011-2012","A3594-A","A3594A"
"2011-2012","A3595","A3595"
"2011-2012","A3596","A3596"
"2011-2012","A3597","A3597"
"2011-2012","A3598","A3598"
"2011-2012","A3390","A3390"
"2011-2012","A3391","A3391"
"2011-2012","A3392-C","A3392C"
"2011-2012","A3393","A3393"
"2011-2012","A3669","A3669"
"2011-2012","A3670","A3670"
"2011-2012","A3671","A3671"
"2011-2012","A3672","A3672"
"2011-2012","A3673","A3673"
"2011-2012","A3674","A3674"
"2011-2012","A3837","A3837"
"2011-2012","A3838","A3838"
"2011-2012","A3839","A3839"
"2011-2012","A3840","A3840"
"2011-2012","A3841","A3841"
"2011-2012","A3690","A3690"
"2011-2012","A3691","A3691"
"2011-2012","A3914","A3914"
"2011-2012","A3915-A","A3915A"
"2011-2012","A3916","A3916"
"2011-2012","A3917","A3917"
"2011-2012","A3918","A3918"
"2011-2012","A3850","A3850"
"2011-2012","A3851","A3851"
"2011-2012","A3852","A3852"
"2011-2012","A3853","A3853"
"2011-2012","A3854","A3854"
"2011-2012","A2365","A2365"
"2011-2012","A2586","A2586"
"2011-2012","A2587","A2587"
"2011-2012","A2588-A","A2588A"
"2011-2012","A2589","A2589"
"2011-2012","A2590","A2590"
"2011-2012","A2591","A2591"
"2011-2012","A5637","A5637"
"2011-2012","A5638","A5638"
"2011-2012","A5639","A5639"
"2011-2012","A5640","A5640"
"2011-2012","A5782","A5782"
"2011-2012","A3599-B","A3599B"
"2011-2012","A3600","A3600"
"2011-2012","A3820","A3820"
"2011-2012","A3821","A3821"
"2011-2012","A3822","A3822"
"2011-2012","A3823","A3823"
"2011-2012","A3824-A","A3824A"
"2011-2012","A3825","A3825"
"2011-2012","A3826","A3826"
"2011-2012","A3827","A3827"
"2011-2012","A3828","A3828"
"2011-2012","A3842","A3842"
"2011-2012","A3843-A","A3843A"
"2011-2012","A3844","A3844"
"2011-2012","A3832","A3832"
"2011-2012","A3845","A3845"
"2011-2012","A3083","A3083"
"2011-2012","A3084","A3084"
"2011-2012","A3085","A3085"
"2011-2012","A3086","A3086"
"2011-2012","A3087-A","A3087A"
"2011-2012","A3088","A3088"
"2011-2012","A3089","A3089"
"2011-2012","A3351","A3351"
"2011-2012","A3352","A3352"
"2011-2012","A3353","A3353"
"2011-2012","A3364","A3364"
"2011-2012","A3855-A","A3855A"
"2011-2012","A3856","A3856"
"2011-2012","A3096","A3096"
"2011-2012","A3097","A3097"
"2011-2012","A3098-A","A3098A"
"2011-2012","A3372","A3372"
"2011-2012","A3373","A3373"
"2011-2012","A3374","A3374"
"2011-2012","A3375","A3375"
"2011-2012","A3376","A3376"
"2011-2012","A3377","A3377"
"2011-2012","A5783","A5783"
"2011-2012","A5784","A5784"
"2011-2012","A5785","A5785"
"2011-2012","A3199","A3199"
"2011-2012","A3200","A3200"
"2011-2012","A3201","A3201"
"2011-2012","A3202","A3202"
"2011-2012","A3534","A3534"
"2011-2012","A3535","A3535"
"2011-2012","A3536","A3536"
"2011-2012","A3537","A3537"
"2011-2012","A3829","A3829"
"2011-2012","A3830","A3830"
"2011-2012","A3831","A3831"
"2011-2012","A3069","A3069"
"2011-2012","A3070","A3070"
"2011-2012","A3071","A3071"
"2011-2012","A3072","A3072"
"2011-2012","A3073","A3073"
"2011-2012","A3074","A3074"
"2011-2012","A3075-A","A3075A"
"2011-2012","A3076","A3076"
"2011-2012","A3077","A3077"
"2011-2012","A3078","A3078"
"2011-2012","A3079","A3079"
"2011-2012","A3365","A3365"
"2011-2012","A3366","A3366"
"2011-2012","A3367","A3367"
"2011-2012","A3645","A3645"
"2011-2012","A3646","A3646"
"2011-2012","A3647-A","A3647A"
"2011-2012","A3648","A3648"
"2011-2012","A3649","A3649"
"2011-2012","A3650","A3650"
"2011-2012","A3675","A3675"
"2011-2012","A3676","A3676"
"2011-2012","A3677","A3677"
"2011-2012","A3678","A3678"
"2011-2012","A3378","A3378"
"2011-2012","A3379","A3379"
"2011-2012","A3658","A3658"
"2011-2012","A3659","A3659"
"2011-2012","A3660","A3660"
"2011-2012","A3661","A3661"
"2011-2012","A3662","A3662"
"2011-2012","A3398","A3398"
"2011-2012","A3399","A3399"
"2011-2012","A3400-A","A3400A"
"2011-2012","A3401","A3401"
"2011-2012","A3402","A3402"
"2011-2012","A3403","A3403"
"2011-2012","A3538","A3538"
"2011-2012","A3539","A3539"
"2011-2012","A3540","A3540"
"2011-2012","A3541","A3541"
"2011-2012","A3755","A3755"
"2011-2012","A3756","A3756"
"2011-2012","A3953","A3953"
"2011-2012","A3954","A3954"
"2011-2012","A3955","A3955"
"2011-2012","A3956","A3956"
"2011-2012","A3957","A3957"
"2011-2012","A3080","A3080"
"2011-2012","A3081","A3081"
"2011-2012","A3082","A3082"
"2011-2012","A3296","A3296"
"2011-2012","A3297-A","A3297A"
"2011-2012","A3298","A3298"
"2011-2012","A3299","A3299"
"2011-2012","A3300-A","A3300A"
"2011-2012","A3638","A3638"
"2011-2012","A3639","A3639"
"2011-2012","A3640","A3640"
"2011-2012","A3641","A3641"
"2011-2012","A3679","A3679"
"2011-2012","A3680","A3680"
"2011-2012","A3893","A3893"
"2011-2012","A3894","A3894"
"2011-2012","A3895","A3895"
"2011-2012","A3896","A3896"
"2011-2012","A3090","A3090"
"2011-2012","A3091","A3091"
"2011-2012","A3092","A3092"
"2011-2012","A3093-B","A3093B"
"2011-2012","A3094","A3094"
"2011-2012","A3404","A3404"
"2011-2012","A3405","A3405"
"2011-2012","A3406-A","A3406A"
"2011-2012","A3681","A3681"
"2011-2012","A3682","A3682"
"2011-2012","A3683-A","A3683A"
"2011-2012","A3684-A","A3684A"
"2011-2012","A3099","A3099"
"2011-2012","A3100","A3100"
"2011-2012","A3101","A3101"
"2011-2012","A3102","A3102"
"2011-2012","A3103","A3103"
"2011-2012","A3958","A3958"
"2011-2012","A3959","A3959"
"2011-2012","A3960-A","A3960A"
"2011-2012","A3252","A3252"
"2011-2012","A3253","A3253"
"2011-2012","A3254","A3254"
"2011-2012","A3255","A3255"
"2011-2012","A3256","A3256"
"2011-2012","A3257","A3257"
"2011-2012","A3258","A3258"
"2011-2012","A3259","A3259"
"2011-2012","A3260-A","A3260A"
"2011-2012","A3642","A3642"
"2011-2012","A3643","A3643"
"2011-2012","A3644","A3644"
"2011-2012","A3857","A3857"
"2011-2012","A3858","A3858"
"2011-2012","A3859","A3859"
"2011-2012","A3860","A3860"
"2011-2012","A3861","A3861"
"2011-2012","A3886","A3886"
"2011-2012","A3887","A3887"
"2011-2012","A3888","A3888"
"2011-2012","A3889","A3889"
"2011-2012","A3890","A3890"
"2011-2012","A3095","A3095"
"2011-2012","A3309","A3309"
"2011-2012","A3310","A3310"
"2011-2012","A3320","A3320"
"2011-2012","A3321","A3321"
"2011-2012","A3322","A3322"
"2011-2012","A3651-A","A3651A"
"2011-2012","A3652","A3652"
"2011-2012","A3653","A3653"
"2011-2012","A3654","A3654"
"2011-2012","A3655","A3655"
"2011-2012","A3104-A","A3104A"
"2011-2012","A3105","A3105"
"2011-2012","A3331","A3331"
"2011-2012","A3332","A3332"
"2011-2012","A3333-A","A3333A"
"2011-2012","A3334","A3334"
"2011-2012","A3335","A3335"
"2011-2012","A3663","A3663"
"2011-2012","A3664","A3664"
"2011-2012","A3665","A3665"
"2011-2012","A3666","A3666"
"2011-2012","A3667","A3667"
"2011-2012","A3261","A3261"
"2011-2012","A3262","A3262"
"2011-2012","A3263","A3263"
"2011-2012","A3555","A3555"
"2011-2012","A3556-A","A3556A"
"2011-2012","A3557","A3557"
"2011-2012","A3558-A","A3558A"
"2011-2012","A3569","A3569"
"2011-2012","A3570","A3570"
"2011-2012","A3571","A3571"
"2011-2012","A3572","A3572"
"2011-2012","A3573","A3573"
"2011-2012","A3574","A3574"
"2011-2012","A3891","A3891"
"2011-2012","A3892","A3892"
"2011-2012","A3131","A3131"
"2011-2012","A3132-A","A3132A"
"2011-2012","A3133","A3133"
"2011-2012","A3134-A","A3134A"
"2011-2012","A3135-A","A3135A"
"2011-2012","A3301-A","A3301A"
"2011-2012","A3302-A","A3302A"
"2011-2012","A3303","A3303"
"2011-2012","A3304-A","A3304A"
"2011-2012","A3305","A3305"
"2011-2012","A3656-A","A3656A"
"2011-2012","A3657","A3657"
"2011-2012","A3870","A3870"
"2011-2012","A3871","A3871"
"2011-2012","A3872","A3872"
"2011-2012","A3873","A3873"
"2011-2012","A3874","A3874"
"2011-2012","A3897-B","A3897B"
"2011-2012","A3898","A3898"
"2011-2012","A3899-B","A3899B"
"2011-2012","A3900-A","A3900A"
"2011-2012","A3901","A3901"
"2011-2012","A3668","A3668"
"2011-2012","A3881","A3881"
"2011-2012","A3882-A","A3882A"
"2011-2012","A3883","A3883"
"2011-2012","A3884","A3884"
"2011-2012","A3885","A3885"
"2011-2012","A3919","A3919"
"2011-2012","A3920","A3920"
"2011-2012","A3921","A3921"
"2011-2012","A3922","A3922"
"2011-2012","A3923","A3923"
"2011-2012","A3924","A3924"
"2011-2012","A3575","A3575"
"2011-2012","A3782-A","A3782A"
"2011-2012","A3783","A3783"
"2011-2012","A3784","A3784"
"2011-2012","A3785","A3785"
"2011-2012","A3786","A3786"
"2011-2012","A3787","A3787"
"2011-2012","A3559","A3559"
"2011-2012","A3788","A3788"
"2011-2012","A3789","A3789"
"2011-2012","A3790","A3790"
"2011-2012","A3791","A3791"
"2011-2012","A3792","A3792"
"2011-2012","A3793-A","A3793A"
"2011-2012","A3794-A","A3794A"
"2011-2012","A3306","A3306"
"2011-2012","A3307","A3307"
"2011-2012","A3308","A3308"
"2011-2012","A3601","A3601"
"2011-2012","A3602","A3602"
"2011-2012","A3603","A3603"
"2011-2012","A3604","A3604"
"2011-2012","A3605","A3605"
"2011-2012","A3862","A3862"
"2011-2012","A3863","A3863"
"2011-2012","A3864","A3864"
"2011-2012","A3865","A3865"
"2011-2012","A3866","A3866"
"2011-2012","A3911","A3911"
"2011-2012","A3912","A3912"
"2011-2012","A3913-A","A3913A"
"2011-2012","A3143","A3143"
"2011-2012","A3144","A3144"
"2011-2012","A3145","A3145"
"2011-2012","A3146","A3146"
"2011-2012","A3323","A3323"
"2011-2012","A3324-B","A3324B"
"2011-2012","A3325","A3325"
"2011-2012","A3326","A3326"
"2011-2012","A3327","A3327"
"2011-2012","A3328","A3328"
"2011-2012","A3329","A3329"
"2011-2012","A3330","A3330"
"2011-2012","A4215","A4215"
"2011-2012","A4216","A4216"
"2011-2012","A4217","A4217"
"2011-2012","A4218","A4218"
"2011-2012","A3158","A3158"
"2011-2012","A3159","A3159"
"2011-2012","A3160","A3160"
"2011-2012","A3161","A3161"
"2011-2012","A3162","A3162"
"2011-2012","A3336","A3336"
"2011-2012","A3337","A3337"
"2011-2012","A3338","A3338"
"2011-2012","A3339","A3339"
"2011-2012","A3340","A3340"
"2011-2012","A3795-A","A3795A"
"2011-2012","A3796","A3796"
"2011-2012","A3797-A","A3797A"
"2011-2012","A3040","A3040"
"2011-2012","A3041","A3041"
"2011-2012","A3042-A","A3042A"
"2011-2012","A3043","A3043"
"2011-2012","A3044","A3044"
"2011-2012","A3045","A3045"
"2011-2012","A3046","A3046"
"2011-2012","A3047","A3047"
"2011-2012","A3048","A3048"
"2011-2012","A3049","A3049"
"2011-2012","A3050","A3050"
"2011-2012","A3051","A3051"
"2011-2012","A3867","A3867"
"2011-2012","A3868","A3868"
"2011-2012","A3869","A3869"
"2011-2012","A3106","A3106"
"2011-2012","A3107","A3107"
"2011-2012","A3108","A3108"
"2011-2012","A3109","A3109"
"2011-2012","A3110","A3110"
"2011-2012","A3111","A3111"
"2011-2012","A3136","A3136"
"2011-2012","A3137","A3137"
"2011-2012","A3138","A3138"
"2011-2012","A3615-A","A3615A"
"2011-2012","A3616","A3616"
"2011-2012","A3617","A3617"
"2011-2012","A3618","A3618"
"2011-2012","A3619","A3619"
"2011-2012","A3620","A3620"
"2011-2012","A3875","A3875"
"2011-2012","A3876","A3876"
"2011-2012","A3877","A3877"
"2011-2012","A3878","A3878"
"2011-2012","A3879","A3879"
"2011-2012","A3341","A3341"
"2011-2012","A3342","A3342"
"2011-2012","A3343","A3343"
"2011-2012","A3344","A3344"
"2011-2012","A3632","A3632"
"2011-2012","A3633","A3633"
"2011-2012","A3634-A","A3634A"
"2011-2012","A3635","A3635"
"2011-2012","A3636","A3636"
"2011-2012","A3637-A","A3637A"
"2011-2012","A2800-A","A2800A"
"2011-2012","A2801","A2801"
"2011-2012","A2802","A2802"
"2011-2012","A2803","A2803"
"2011-2012","A2804","A2804"
"2011-2012","A5074","A5074"
"2011-2012","A3052-A","A3052A"
"2011-2012","A3053","A3053"
"2011-2012","A3264","A3264"
"2011-2012","A3265","A3265"
"2011-2012","A3266","A3266"
"2011-2012","A3267-B","A3267B"
"2011-2012","A3268","A3268"
"2011-2012","A3269","A3269"
"2011-2012","A3270","A3270"
"2011-2012","A3271","A3271"
"2011-2012","A3272","A3272"
"2011-2012","A3273","A3273"
"2011-2012","A3139","A3139"
"2011-2012","A3140","A3140"
"2011-2012","A3141-A","A3141A"
"2011-2012","A3142","A3142"
"2011-2012","A3380","A3380"
"2011-2012","A3381","A3381"
"2011-2012","A3382","A3382"
"2011-2012","A3383","A3383"
"2011-2012","A3384","A3384"
"2011-2012","A3385","A3385"
"2011-2012","A3607","A3607"
"2011-2012","A3608","A3608"
"2011-2012","A3609","A3609"
"2011-2012","A3610","A3610"
"2011-2012","A3880","A3880"
"2011-2012","A3120","A3120"
"2011-2012","A3121","A3121"
"2011-2012","A3122","A3122"
"2011-2012","A3148","A3148"
"2011-2012","A3149","A3149"
"2011-2012","A3150","A3150"
"2011-2012","A3151","A3151"
"2011-2012","A3152","A3152"
"2011-2012","A3153","A3153"
"2011-2012","A3154","A3154"
"2011-2012","A3155","A3155"
"2011-2012","A3156","A3156"
"2011-2012","A5075","A5075"
"2011-2012","A5076","A5076"
"2011-2012","A5077","A5077"
"2011-2012","A5078","A5078"
"2011-2012","A5079","A5079"
"2011-2012","A5201","A5201"
"2011-2012","A5202","A5202"
"2011-2012","A2799","A2799"
"2011-2012","A2592","A2592"
"2011-2012","A2593-A","A2593A"
"2011-2012","A2594","A2594"
"2011-2012","A3274","A3274"
"2011-2012","A3576-A","A3576A"
"2011-2012","A3577","A3577"
"2011-2012","A3578","A3578"
"2011-2012","A3579","A3579"
"2011-2012","A3580","A3580"
"2011-2012","A3581","A3581"
"2011-2012","A3582","A3582"
"2011-2012","A3583","A3583"
"2011-2012","A3584","A3584"
"2011-2012","A3585","A3585"
"2011-2012","A3586","A3586"
"2011-2012","A3587","A3587"
"2011-2012","A3588","A3588"
"2011-2012","A3611","A3611"
"2011-2012","A3612","A3612"
"2011-2012","A3613","A3613"
"2011-2012","A3614","A3614"
"2011-2012","A3833","A3833"
"2011-2012","A3834-A","A3834A"
"2011-2012","A3835","A3835"
"2011-2012","A3836-A","A3836A"
"2011-2012","A3606","A3606"
"2011-2012","A3112","A3112"
"2011-2012","A3113","A3113"
"2011-2012","A3114","A3114"
"2011-2012","A3115","A3115"
"2011-2012","A3157","A3157"
"2011-2012","A3394-A","A3394A"
"2011-2012","A3395","A3395"
"2011-2012","A3396","A3396"
"2011-2012","A3397","A3397"
"2011-2012","A3147","A3147"
"2011-2012","A3621","A3621"
"2011-2012","A3622-A","A3622A"
"2011-2012","A3623","A3623"
"2011-2012","A3624","A3624"
"2011-2012","A3625","A3625"
"2011-2012","A3626","A3626"
"2011-2012","A3627","A3627"
"2011-2012","A3628","A3628"
"2011-2012","A7306","A7306"
"2011-2012","A7307","A7307"
"2011-2012","A7308","A7308"
"2011-2012","A7309-B","A7309B"
"2011-2012","A7310","A7310"
"2011-2012","A7662-C","A7662C"
"2011-2012","A7663","A7663"
"2011-2012","A7664","A7664"
"2011-2012","A7665-B","A7665B"
"2011-2012","A7666","A7666"
"2011-2012","A7906","A7906"
"2011-2012","A7907","A7907"
"2011-2012","A7908","A7908"
"2011-2012","A7909","A7909"
"2011-2012","A7910-B","A7910B"
"2011-2012","A7911-A","A7911A"
"2011-2012","A7912","A7912"
"2011-2012","A7913","A7913"
"2011-2012","A7914","A7914"
"2011-2012","A7915-A","A7915A"
"2011-2012","A7916","A7916"
"2011-2012","A7917-A","A7917A"
"2011-2012","A7786","A7786"
"2011-2012","A7787","A7787"
"2011-2012","A7788-B","A7788B"
"2011-2012","A7789-E","A7789E"
"2011-2012","A7790","A7790"
"2011-2012","A8035","A8035"
"2011-2012","A7957","A7957"
"2011-2012","A7958-B","A7958B"
"2011-2012","A7959-A","A7959A"
"2011-2012","A7960","A7960"
"2011-2012","A7961-A","A7961A"
"2011-2012","A7962","A7962"
"2011-2012","A7963","A7963"
"2011-2012","A7296-B","A7296B"
"2011-2012","A7297-A","A7297A"
"2011-2012","A7487","A7487"
"2011-2012","A7794-A","A7794A"
"2011-2012","A7795","A7795"
"2011-2012","A7796","A7796"
"2011-2012","A7797","A7797"
"2011-2012","A7798-B","A7798B"
"2011-2012","A7799","A7799"
"2011-2012","A7800","A7800"
"2011-2012","A7801","A7801"
"2011-2012","A7802","A7802"
"2011-2012","A7803","A7803"
"2011-2012","A7804","A7804"
"2011-2012","A7814","A7814"
"2011-2012","A7311-A","A7311A"
"2011-2012","A7502-B","A7502B"
"2011-2012","A7773","A7773"
"2011-2012","A7774","A7774"
"2011-2012","A7918","A7918"
"2011-2012","A7919","A7919"
"2011-2012","A7920-A","A7920A"
"2011-2012","A7921","A7921"
"2011-2012","A7922","A7922"
"2011-2012","A7923","A7923"
"2011-2012","A7924","A7924"
"2011-2012","A7925","A7925"
"2011-2012","A8135","A8135"
"2011-2012","A7926","A7926"
"2011-2012","A7927","A7927"
"2011-2012","A7928","A7928"
"2011-2012","A7210","A7210"
"2011-2012","A7211","A7211"
"2011-2012","A7212","A7212"
"2011-2012","A7213","A7213"
"2011-2012","A7214-A","A7214A"
"2011-2012","A7216-A","A7216A"
"2011-2012","A7217","A7217"
"2011-2012","A7218-B","A7218B"
"2011-2012","A7219","A7219"
"2011-2012","A7220-C","A7220C"
"2011-2012","A7221","A7221"
"2011-2012","A7222","A7222"
"2011-2012","A7964","A7964"
"2011-2012","A7239","A7239"
"2011-2012","A7240-A","A7240A"
"2011-2012","A7241","A7241"
"2011-2012","A7242","A7242"
"2011-2012","A7243","A7243"
"2011-2012","A7244-B","A7244B"
"2011-2012","A7476-A","A7476A"
"2011-2012","A7477","A7477"
"2011-2012","A7478","A7478"
"2011-2012","A7479-A","A7479A"
"2011-2012","A7480-A","A7480A"
"2011-2012","A7481-A","A7481A"
"2011-2012","A7482-A","A7482A"
"2011-2012","A7483","A7483"
"2011-2012","A7484","A7484"
"2011-2012","A7815-A","A7815A"
"2011-2012","A8048","A8048"
"2011-2012","A8049","A8049"
"2011-2012","A7970","A7970"
"2011-2012","A7971-A","A7971A"
"2011-2012","A7972","A7972"
"2011-2012","A7973","A7973"
"2011-2012","A7974","A7974"
"2011-2012","A7986","A7986"
"2011-2012","A7987-C","A7987C"
"2011-2012","A7988-A","A7988A"
"2011-2012","A7256","A7256"
"2011-2012","A7257","A7257"
"2011-2012","A8136-B","A8136B"
"2011-2012","A7531","A7531"
"2011-2012","A7532","A7532"
"2011-2012","A6597-B","A6597B"
"2011-2012","A6598","A6598"
"2011-2012","A6599","A6599"
"2011-2012","A6600","A6600"
"2011-2012","A6601","A6601"
"2011-2012","A6602-A","A6602A"
"2011-2012","A6603-A","A6603A"
"2011-2012","A6604","A6604"
"2011-2012","A6605","A6605"
"2011-2012","A6606-A","A6606A"
"2011-2012","A6607-A","A6607A"
"2011-2012","A6608","A6608"
"2011-2012","A7223","A7223"
"2011-2012","A7224","A7224"
"2011-2012","A7396","A7396"
"2011-2012","A7397","A7397"
"2011-2012","A7398","A7398"
"2011-2012","A7399","A7399"
"2011-2012","A7215-B","A7215B"
"2011-2012","A7400-A","A7400A"
"2011-2012","A7401-B","A7401B"
"2011-2012","A7402","A7402"
"2011-2012","A7403-C","A7403C"
"2011-2012","A7404-A","A7404A"
"2011-2012","A7405","A7405"
"2011-2012","A7406","A7406"
"2011-2012","A7485","A7485"
"2011-2012","A7486","A7486"
"2011-2012","A7729","A7729"
"2011-2012","A7730","A7730"
"2011-2012","A7731","A7731"
"2011-2012","A7475","A7475"
"2011-2012","A8036","A8036"
"2011-2012","A8037","A8037"
"2011-2012","A8038","A8038"
"2011-2012","A8039","A8039"
"2011-2012","A8040","A8040"
"2011-2012","A8041-A","A8041A"
"2011-2012","A8042","A8042"
"2011-2012","A8043-B","A8043B"
"2011-2012","A7258","A7258"
"2011-2012","A7259","A7259"
"2011-2012","A7489-B","A7489B"
"2011-2012","A7490","A7490"
"2011-2012","A7491","A7491"
"2011-2012","A7492-D","A7492D"
"2011-2012","A7493","A7493"
"2011-2012","A7494-C","A7494C"
"2011-2012","A7495","A7495"
"2011-2012","A7496","A7496"
"2011-2012","A7497","A7497"
"2011-2012","A7498","A7498"
"2011-2012","A7499","A7499"
"2011-2012","A7500","A7500"
"2011-2012","A7501","A7501"
"2011-2012","A6609","A6609"
"2011-2012","A6837","A6837"
"2011-2012","A7133-A","A7133A"
"2011-2012","A7134-A","A7134A"
"2011-2012","A7135","A7135"
"2011-2012","A7136","A7136"
"2011-2012","A7137-A","A7137A"
"2011-2012","A7138","A7138"
"2011-2012","A7139","A7139"
"2011-2012","A7140-B","A7140B"
"2011-2012","A7141","A7141"
"2011-2012","A7142","A7142"
"2011-2012","A7143","A7143"
"2011-2012","A7144-B","A7144B"
"2011-2012","A7407","A7407"
"2011-2012","A7408","A7408"
"2011-2012","A7668","A7668"
"2011-2012","A7669-A","A7669A"
"2011-2012","A7670-C","A7670C"
"2011-2012","A7671","A7671"
"2011-2012","A7672","A7672"
"2011-2012","A7673","A7673"
"2011-2012","A7674","A7674"
"2011-2012","A7675","A7675"
"2011-2012","A7676","A7676"
"2011-2012","A7677","A7677"
"2011-2012","A7678","A7678"
"2013-2014","S907","S907"
"2013-2014","S908","S908"
"2013-2014","S1189","S1189"
"2013-2014","S1190","S1190"
"2013-2014","S1191","S1191"
"2013-2014","S1192","S1192"
"2013-2014","S1193","S1193"
"2013-2014","S1194-A","S1194A"
"2013-2014","S768","S768"
"2013-2014","S769","S769"
"2013-2014","S770","S770"
"2013-2014","S655","S655"
"2013-2014","S656","S656"
"2013-2014","S657","S657"
"2013-2014","S658","S658"
"2013-2014","S659","S659"
"2013-2014","S660","S660"
"2013-2014","S393","S393"
"2013-2014","S394","S394"
"2013-2014","S395","S395"
"2013-2014","S396","S396"
"2013-2014","S397","S397"
"2013-2014","S1195","S1195"
"2013-2014","S503","S503"
"2013-2014","S504","S504"
"2013-2014","S505","S505"
"2013-2014","S506","S506"
"2013-2014","S507","S507"
"2013-2014","S508","S508"
"2013-2014","S509","S509"
"2013-2014","S510","S510"
"2013-2014","S801","S801"
"2013-2014","S802","S802"
"2013-2014","S803","S803"
"2013-2014","S804","S804"
"2013-2014","S805","S805"
"2013-2014","S806","S806"
"2013-2014","S807","S807"
"2013-2014","S808","S808"
"2013-2014","S809","S809"
"2013-2014","S810","S810"
"2013-2014","S811","S811"
"2013-2014","S1196","S1196"
"2013-2014","S1197","S1197"
"2013-2014","S1198","S1198"
"2013-2014","S1199","S1199"
"2013-2014","S1200","S1200"
"2011-2012","A10642","A10642"
"2011-2012","A10643","A10643"
"2013-2014","S360","S360"
"2013-2014","S361","S361"
"2013-2014","S362","S362"
"2013-2014","S363","S363"
"2013-2014","S364","S364"
"2013-2014","S365","S365"
"2013-2014","S366","S366"
"2013-2014","S815","S815"
"2013-2014","S816","S816"
"2013-2014","S817","S817"
"2013-2014","S818","S818"
"2013-2014","S814","S814"
"2013-2014","S819","S819"
"2013-2014","S820","S820"
"2013-2014","S821","S821"
"2011-2012","A10235","A10235"
"2013-2014","S661","S661"
"2013-2014","S662","S662"
"2013-2014","S663","S663"
"2013-2014","S664","S664"
"2013-2014","S665","S665"
"2013-2014","S652","S652"
"2013-2014","S666","S666"
"2013-2014","S68","S68"
"2013-2014","S69","S69"
"2011-2012","A10694","A10694"
"2013-2014","A1762","A1762"
"2013-2014","A1763","A1763"
"2011-2012","A10265","A10265"
"2011-2012","A10266","A10266"
"2011-2012","A10267","A10267"
"2011-2012","A10268","A10268"
"2011-2012","A10269","A10269"
"2011-2012","A10224","A10224"
"2011-2012","A10225","A10225"
"2011-2012","A10226","A10226"
"2011-2012","A10227-A","A10227A"
"2011-2012","A10228-A","A10228A"
"2011-2012","A10229","A10229"
"2011-2012","A10230","A10230"
"2011-2012","A10231","A10231"
"2011-2012","A10232","A10232"
"2011-2012","A10217-A","A10217A"
"2011-2012","A10233-A","A10233A"
"2011-2012","A10234","A10234"
"2011-2012","A10678","A10678"
"2011-2012","A10854","A10854"
"2013-2014","A1949","A1949"
"2013-2014","A1950","A1950"
"2013-2014","A1951","A1951"
"2013-2014","A1980","A1980"
"2013-2014","A1981","A1981"
"2013-2014","A1399","A1399"
"2013-2014","A1645","A1645"
"2013-2014","A1646","A1646"
"2013-2014","A1647","A1647"
"2013-2014","A1648","A1648"
"2013-2014","A1649","A1649"
"2013-2014","A1650","A1650"
