"BILL_PERIOD","BILLNUMAMEND","BILL_NORM"
"2007-2008","A1346","A1346"
"2007-2008","A1347","A1347"
"2007-2008","A1317","A1317"
"2007-2008","A1318","A1318"
"2007-2008","A1319","A1319"
"2007-2008","A1320-A","A1320A"
"2007-2008","A1321","A1321"
"2007-2008","A1322","A1322"
"2007-2008","A1323","A1323"
"2007-2008","A1324","A1324"
"2007-2008","A1325","A1325"
"2007-2008","A1361","A1361"
"2007-2008","A1362","A1362"
"2007-2008","A1363","A1363"
"2007-2008","A1364","A1364"
"2007-2008","A1365","A1365"
"2007-2008","A1366","A1366"
"2007-2008","A1367","A1367"
"2007-2008","A1333","A1333"
"2007-2008","A1334-A","A1334A"
"2007-2008","A1428","A1428"
"2007-2008","A1429","A1429"
"2007-2008","A1348","A1348"
"2007-2008","A1349","A1349"
"2007-2008","A1350-A","A1350A"
"2007-2008","A1351","A1351"
"2007-2008","A1352","A1352"
"2007-2008","A1353","A1353"
"2007-2008","A1354","A1354"
"2007-2008","A1355","A1355"
"2007-2008","A1356","A1356"
"2007-2008","A1273","A1273"
"2007-2008","A1315","A1315"
"2007-2008","A1316","A1316"
"2007-2008","A1326","A1326"
"2007-2008","A1327","A1327"
"2007-2008","A1328","A1328"
"2007-2008","A1329","A1329"
"2007-2008","A1330","A1330"
"2007-2008","A1331","A1331"
"2007-2008","A1332","A1332"
"2007-2008","A1312","A1312"
"2007-2008","A1358","A1358"
"2007-2008","A1359","A1359"
"2007-2008","A1360","A1360"
"2007-2008","A542","A542"
"2007-2008","A543","A543"
"2007-2008","A544","A544"
"2007-2008","A545","A545"
"2007-2008","A546","A546"
"2007-2008","A452-A","A452A"
"2007-2008","A453","A453"
"2007-2008","A454","A454"
"2007-2008","A455","A455"
"2007-2008","A456","A456"
"2007-2008","A457-A","A457A"
"2007-2008","A554","A554"
"2007-2008","A555","A555"
"2007-2008","A556","A556"
"2007-2008","A816","A816"
"2007-2008","A817","A817"
"2007-2008","A818","A818"
"2007-2008","A767","A767"
"2007-2008","A768","A768"
"2007-2008","A769","A769"
"2007-2008","A770","A770"
"2007-2008","A771","A771"
"2007-2008","A772","A772"
"2007-2008","A773","A773"
"2007-2008","A774","A774"
"2007-2008","A775","A775"
"2007-2008","A776","A776"
"2007-2008","A801","A801"
"2007-2008","A697","A697"
"2007-2008","A698","A698"
"2007-2008","A699","A699"
"2007-2008","A700","A700"
"2007-2008","A701-A","A701A"
"2007-2008","A702","A702"
"2007-2008","A703","A703"
"2007-2008","A704","A704"
"2007-2008","A894","A894"
"2007-2008","A895","A895"
"2007-2008","A896","A896"
"2007-2008","A897","A897"
"2007-2008","A898","A898"
"2007-2008","A899-A","A899A"
"2007-2008","A900","A900"
"2007-2008","A901","A901"
"2007-2008","A902","A902"
"2007-2008","A903","A903"
"2007-2008","A904","A904"
"2007-2008","A953","A953"
"2007-2008","A954","A954"
"2007-2008","A955","A955"
"2007-2008","A956","A956"
"2007-2008","A957","A957"
"2007-2008","A958-A","A958A"
"2007-2008","A959","A959"
"2007-2008","A960","A960"
"2007-2008","A961","A961"
"2007-2008","A962","A962"
"2007-2008","A963","A963"
"2007-2008","A964","A964"
"2007-2008","A965-A","A965A"
"2007-2008","A966","A966"
"2007-2008","A1122","A1122"
"2007-2008","A1123","A1123"
"2007-2008","A1124","A1124"
"2007-2008","A1125","A1125"
"2007-2008","A1126","A1126"
"2007-2008","A1127","A1127"
"2007-2008","A1128","A1128"
"2007-2008","A1130","A1130"
"2007-2008","A1131","A1131"
"2007-2008","A1132","A1132"
"2007-2008","A1153","A1153"
"2007-2008","A705","A705"
"2007-2008","A649","A649"
"2007-2008","A650","A650"
"2007-2008","A651","A651"
"2007-2008","A652","A652"
"2007-2008","A653","A653"
"2007-2008","A654","A654"
"2007-2008","A655","A655"
"2007-2008","A656-A","A656A"
"2007-2008","A657","A657"
"2007-2008","A658","A658"
"2007-2008","A659","A659"
"2007-2008","A660","A660"
"2007-2008","A661-A","A661A"
"2007-2008","A905","A905"
"2007-2008","A827","A827"
"2007-2008","A828","A828"
"2007-2008","A740","A740"
"2007-2008","A741","A741"
"2007-2008","A742","A742"
"2007-2008","A743","A743"
"2007-2008","A744","A744"
"2007-2008","A638","A638"
"2007-2008","A639","A639"
"2007-2008","A640","A640"
"2007-2008","A967","A967"
"2007-2008","A968","A968"
"2007-2008","A969","A969"
"2007-2008","A970","A970"
"2007-2008","A998","A998"
"2007-2008","A999","A999"
"2007-2008","A1000","A1000"
"2007-2008","A1001","A1001"
"2007-2008","A1002","A1002"
"2007-2008","A1003","A1003"
"2007-2008","A1004-A","A1004A"
"2007-2008","A1005","A1005"
"2007-2008","A1006","A1006"
"2007-2008","A1154-A","A1154A"
"2007-2008","A1155","A1155"
"2007-2008","A1156","A1156"
"2007-2008","A1157","A1157"
"2007-2008","A1158","A1158"
"2007-2008","A1159","A1159"
"2007-2008","A1160","A1160"
"2007-2008","A1161","A1161"
"2007-2008","A1162","A1162"
"2007-2008","A1163","A1163"
"2007-2008","A1164","A1164"
"2007-2008","A1165","A1165"
"2007-2008","A662","A662"
"2007-2008","A731","A731"
"2007-2008","A732","A732"
"2007-2008","A733-A","A733A"
"2007-2008","A734","A734"
"2007-2008","A735","A735"
"2007-2008","A736","A736"
"2007-2008","A737","A737"
"2007-2008","A671","A671"
"2007-2008","A672","A672"
"2007-2008","A673","A673"
"2007-2008","A674","A674"
"2007-2008","A675","A675"
"2007-2008","A749","A749"
"2007-2008","A750","A750"
"2007-2008","A751","A751"
"2007-2008","A752","A752"
"2007-2008","A878","A878"
"2007-2008","A879","A879"
"2007-2008","A880","A880"
"2007-2008","A881","A881"
"2007-2008","A882-A","A882A"
"2007-2008","A883-B","A883B"
"2007-2008","A1007","A1007"
"2007-2008","A941","A941"
"2007-2008","A942","A942"
"2007-2008","A943","A943"
"2007-2008","A876","A876"
"2007-2008","A971","A971"
"2007-2008","A972","A972"
"2007-2008","A973","A973"
"2007-2008","A974","A974"
"2007-2008","A975","A975"
"2007-2008","A1079","A1079"
"2007-2008","A1080","A1080"
"2007-2008","A1081","A1081"
"2007-2008","A1082","A1082"
"2007-2008","A1166","A1166"
"2007-2008","A1167","A1167"
"2007-2008","A1168","A1168"
"2007-2008","A1169","A1169"
"2007-2008","A1170","A1170"
"2007-2008","A1171","A1171"
"2007-2008","A1172","A1172"
"2007-2008","A1008","A1008"
"2007-2008","A1009","A1009"
"2007-2008","A1133","A1133"
"2007-2008","A1134","A1134"
"2007-2008","A676","A676"
"2007-2008","A677","A677"
"2007-2008","A678","A678"
"2007-2008","A679","A679"
"2007-2008","A680","A680"
"2007-2008","A681","A681"
"2007-2008","A682","A682"
"2007-2008","A683","A683"
"2007-2008","A684","A684"
"2007-2008","A685","A685"
"2007-2008","A686","A686"
"2007-2008","A687","A687"
"2007-2008","A688-A","A688A"
"2007-2008","A689","A689"
"2007-2008","A690","A690"
"2007-2008","A884","A884"
"2007-2008","A885","A885"
"2007-2008","A841","A841"
"2007-2008","A842","A842"
"2007-2008","A843","A843"
"2007-2008","A844","A844"
"2007-2008","A845","A845"
"2007-2008","A846","A846"
"2007-2008","A847","A847"
"2007-2008","A848","A848"
"2007-2008","A1083","A1083"
"2007-2008","A1084","A1084"
"2007-2008","A1085","A1085"
"2007-2008","A1086","A1086"
"2007-2008","A1087","A1087"
"2007-2008","A1088","A1088"
"2007-2008","A1089","A1089"
"2007-2008","A1090","A1090"
"2007-2008","A1091","A1091"
"2007-2008","A1092","A1092"
"2007-2008","A1093","A1093"
"2007-2008","A1135","A1135"
"2007-2008","A1136","A1136"
"2007-2008","A1137","A1137"
"2007-2008","A1138","A1138"
"2007-2008","A1139","A1139"
"2007-2008","A1140","A1140"
"2007-2008","A1141","A1141"
"2007-2008","A1142","A1142"
"2007-2008","A1143","A1143"
"2007-2008","A793","A793"
"2007-2008","A663","A663"
"2007-2008","A664","A664"
"2007-2008","A665","A665"
"2007-2008","A666","A666"
"2007-2008","A667","A667"
"2007-2008","A668","A668"
"2007-2008","A669","A669"
"2007-2008","A670-A","A670A"
"2007-2008","A726","A726"
"2007-2008","A727","A727"
"2007-2008","A728","A728"
"2007-2008","A729-A","A729A"
"2007-2008","A2421","A2421"
"2007-2008","A2422","A2422"
"2007-2008","A2423","A2423"
"2007-2008","A2424","A2424"
"2007-2008","A2425","A2425"
"2007-2008","A2426","A2426"
"2007-2008","A2736","A2736"
"2007-2008","A2737","A2737"
"2007-2008","A2772-A","A2772A"
"2007-2008","A2773","A2773"
"2007-2008","A2515","A2515"
"2007-2008","A2516","A2516"
"2007-2008","A2517","A2517"
"2007-2008","A2518","A2518"
